position_mean_rad,velocity_mean_rad_s,tau_fb_mean_nm,force_est_mean_n,sample_count
2.928367,-0.089133,-0.269597,22.466422,4
2.901727,-0.635897,-0.795311,66.275946,10
2.855954,-0.852259,-0.750183,62.515263,6
2.801136,-0.928232,-0.749858,62.488129,9
2.748241,-0.964591,-0.722637,60.219780,5
2.700074,-0.984127,-0.727996,60.666318,7
2.641970,-0.986081,-0.709744,59.145299,5
2.596248,-0.997151,-0.696459,58.038258,3
2.549612,-1.006919,-0.717949,59.829060,3
2.502050,-0.992267,-0.747253,62.271062,3
2.455095,-0.992267,-0.723810,60.317460,3
2.399619,-0.993895,-0.697436,58.119658,4
2.345693,-0.989011,-0.725763,60.480260,3
2.295671,-0.995523,-0.721856,60.154660,3
2.254626,-1.000407,-0.727717,60.643061,3
2.200372,-1.003663,-0.706227,58.852259,4
2.145415,-1.005291,-0.686691,57.224257,3
2.097566,-1.015059,-0.688645,57.387057,3
2.050323,-1.021571,-0.706227,58.852259,3
2.002570,-1.021571,-0.694505,57.875458,3
1.955583,-1.026455,-0.694505,57.875458,3
1.899811,-1.028083,-0.693040,57.753358,4
1.844040,-1.031339,-0.690598,57.549858,3
1.796159,-1.044363,-0.663248,55.270655,3
1.746776,-1.050875,-0.671062,55.921856,3
1.698671,-1.049247,-0.655433,54.619455,3
1.649800,-1.054131,-0.669109,55.759056,3
1.599491,-1.070411,-0.665201,55.433455,3
1.544294,-1.065527,-0.667155,55.596256,3
1.499767,-1.067155,-0.659341,54.945055,3
1.449841,-1.075295,-0.647619,53.968254,3
1.400586,-1.070411,-0.671062,55.921856,3
1.350597,-1.076923,-0.655433,54.619455,3
1.300511,-1.078551,-0.663248,55.270655,3
1.250266,-1.073667,-0.655433,54.619455,3
1.200053,-1.075295,-0.639805,53.317053,3
1.149489,-1.083435,-0.631990,52.665853,3
1.099755,-1.081807,-0.663248,55.270655,3
1.050053,-1.076923,-0.647619,53.968254,3
1.000574,-1.072039,-0.630037,52.503053,3
0.950457,-1.072039,-0.671062,55.921856,3
0.901362,-1.057387,-0.667155,55.596256,3
0.847858,-1.047619,-0.698413,58.201058,3
0.803618,-1.042735,-0.700366,58.363858,3
0.755066,-1.034595,-0.682784,56.898657,3
0.699199,-1.036630,-0.669597,55.799756,4
0.642406,-1.034595,-0.673016,56.084656,3
0.599220,-1.032967,-0.690598,57.549858,3
0.545845,-1.034595,-0.674969,56.247456,3
0.492635,-1.036874,-0.675751,56.312576,5
0.455057,-1.035409,-0.678388,56.532357,4
0.402068,-1.037153,-0.665201,55.433455,7
0.346212,-1.051526,-0.669890,55.824176,5
0.301404,-1.050549,-0.669890,55.824176,5
0.252088,-1.054131,-0.669109,55.759056,6
0.206986,-1.054945,-0.669597,55.799756,4
0.148733,-1.049573,-0.658168,54.847375,5
0.097772,-1.046642,-0.675751,56.312576,5
0.047147,-1.050061,-0.677900,56.491656,6
0.021417,-1.052503,-0.665201,55.433455,1
