elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
0.019342,2.840446,-0.593407,-1.250000,-0.489377,40.781441
0.022034,2.839392,-0.554335,-1.250000,-0.559707,46.642247
0.024741,2.838625,-0.500611,-1.250000,-0.665201,55.433455
0.027498,2.838050,-0.363858,-1.250000,-0.758974,63.247863
0.030339,2.837475,-0.305250,-1.250000,-0.805861,67.155067
0.033084,2.836517,-0.319902,-1.250000,-0.852747,71.062271
0.035562,2.834505,-0.598291,-1.250000,-0.817582,68.131868
0.038293,2.832205,-0.798535,-1.250000,-0.776557,64.713065
0.040770,2.829426,-0.974359,-1.250000,-0.694505,57.875458
0.043475,2.824539,-0.891331,-1.250000,-0.600733,50.061050
0.046502,2.824539,-0.891331,-1.250000,-0.600733,50.061050
0.049013,2.821760,-0.920635,-1.250000,-0.571429,47.619048
0.051577,2.819556,-0.881563,-1.250000,-0.577289,48.107448
0.054126,2.817543,-0.808303,-1.250000,-0.589011,49.084249
0.056623,2.815435,-0.798535,-1.250000,-0.594872,49.572650
0.059188,2.813614,-0.778999,-1.250000,-0.606593,50.549451
0.061703,2.811506,-0.798535,-1.250000,-0.612454,51.037851
0.064254,2.809590,-0.793651,-1.250000,-0.612454,51.037851
0.066793,2.807386,-0.818071,-1.250000,-0.606593,50.549451
0.069287,2.805277,-0.813187,-1.250000,-0.606593,50.549451
0.071892,2.803169,-0.832723,-1.250000,-0.600733,50.061050
0.074484,2.800965,-0.847375,-1.250000,-0.594872,49.572650
0.077378,2.798953,-0.842491,-1.250000,-0.594872,49.572650
0.079911,2.796366,-0.842491,-1.250000,-0.583150,48.595849
0.082606,2.794162,-0.866911,-1.250000,-0.577289,48.107448
0.085055,2.792053,-0.837607,-1.250000,-0.589011,49.084249
0.087591,2.790041,-0.783883,-1.250000,-0.594872,49.572650
0.090550,2.787933,-0.818071,-1.250000,-0.600733,50.061050
0.093151,2.785346,-0.852259,-1.250000,-0.589011,49.084249
0.095675,2.783237,-0.842491,-1.250000,-0.589011,49.084249
0.098228,2.781033,-0.852259,-1.250000,-0.583150,48.595849
0.100880,2.778734,-0.866911,-1.250000,-0.571429,47.619048
0.104006,2.776338,-0.905983,-1.250000,-0.565568,47.130647
0.106437,2.773655,-0.866911,-1.250000,-0.565568,47.130647
0.108985,2.771547,-0.866911,-1.250000,-0.565568,47.130647
0.111493,2.769247,-0.920635,-1.250000,-0.559707,46.642247
0.114028,2.767043,-0.891331,-1.250000,-0.559707,46.642247
0.116556,2.765030,-0.837607,-1.250000,-0.571429,47.619048
0.119129,2.762826,-0.808303,-1.250000,-0.571429,47.619048
0.121578,2.760718,-0.832723,-1.250000,-0.577289,48.107448
0.124128,2.758706,-0.837607,-1.250000,-0.583150,48.595849
0.126830,2.756598,-0.837607,-1.250000,-0.583150,48.595849
0.129201,2.754202,-0.881563,-1.250000,-0.571429,47.619048
0.131699,2.751998,-0.876679,-1.250000,-0.565568,47.130647
0.134328,2.749794,-0.886447,-1.250000,-0.559707,46.642247
0.136943,2.747494,-0.896215,-1.250000,-0.559707,46.642247
0.139302,2.745098,-0.871795,-1.250000,-0.553846,46.153846
0.141936,2.740499,-0.925519,-1.250000,-0.547985,45.665446
0.144797,2.740499,-0.925519,-1.250000,-0.547985,45.665446
0.147353,2.738199,-0.862027,-1.250000,-0.553846,46.153846
0.150062,2.735899,-0.852259,-1.250000,-0.553846,46.153846
0.152620,2.733503,-0.876679,-1.250000,-0.553846,46.153846
0.155271,2.733503,-0.876679,-1.250000,-0.553846,46.153846
0.157840,2.728904,-0.886447,-1.250000,-0.559707,46.642247
0.160369,2.726700,-0.862027,-1.250000,-0.553846,46.153846
0.162965,2.724400,-0.901099,-1.250000,-0.553846,46.153846
0.165487,2.722292,-0.862027,-1.250000,-0.565568,47.130647
0.168247,2.720088,-0.842491,-1.250000,-0.571429,47.619048
0.170852,2.717692,-0.842491,-1.250000,-0.565568,47.130647
0.173404,2.715392,-0.876679,-1.250000,-0.565568,47.130647
0.176031,2.713380,-0.862027,-1.250000,-0.571429,47.619048
0.178555,2.711176,-0.818071,-1.250000,-0.565568,47.130647
0.181176,2.709068,-0.852259,-1.250000,-0.571429,47.619048
0.183628,2.709068,-0.852259,-1.250000,-0.571429,47.619048
