position_mean_rad,velocity_mean_rad_s,tau_fb_mean_nm,force_est_mean_n,sample_count
2.801628,-0.841066,-0.592186,49.348799,24
2.750530,-0.871795,-0.562371,46.864247,22
2.700918,-0.887113,-0.549584,45.798646,22
2.649527,-0.909471,-0.532357,44.363044,21
2.600373,-0.916216,-0.522868,43.572301,21
2.550287,-0.922495,-0.519239,43.269958,21
2.499819,-0.945520,-0.506681,42.223385,21
2.448568,-0.943101,-0.500513,41.709402,20
2.400395,-0.920635,-0.523077,43.589744,20
2.350604,-0.973382,-0.481758,40.146520,20
2.300793,-0.957808,-0.492308,41.025641,18
2.251379,-0.962792,-0.491845,40.987083,19
2.199935,-1.000578,-0.456680,38.056680,19
2.149844,-1.017772,-0.442816,36.901370,18
2.099983,-1.056616,-0.418739,34.894930,19
2.049774,-1.101056,-0.380435,31.702938,17
2.000930,-1.112739,-0.371510,30.959164,18
1.950424,-1.121964,-0.359788,29.982363,18
1.900510,-1.130647,-0.356303,29.691877,17
1.850759,-1.140990,-0.345615,28.801264,17
1.800258,-1.158866,-0.330159,27.513228,18
1.748986,-1.178571,-0.317949,26.495726,16
1.699816,-1.188968,-0.306658,25.554837,17
1.650267,-1.197192,-0.301099,25.091575,16
1.600195,-1.197874,-0.299418,24.951519,17
1.549864,-1.202381,-0.299267,24.938950,16
1.500873,-1.198413,-0.298168,24.847375,16
1.451456,-1.198718,-0.300733,25.061050,16
1.400695,-1.200172,-0.299073,24.922790,17
1.348887,-1.205631,-0.294247,24.520577,17
1.299565,-1.211233,-0.289011,24.084249,16
1.249582,-1.212239,-0.286662,23.888530,17
1.198935,-1.215201,-0.287179,23.931624,16
1.150543,-1.216606,-0.287375,23.947904,15
1.100767,-1.221612,-0.282051,23.504274,16
1.049907,-1.228022,-0.276190,23.015873,16
0.999565,-1.230606,-0.274481,22.873423,15
0.949421,-1.233516,-0.272894,22.741148,16
0.899221,-1.235165,-0.272527,22.710623,15
0.850880,-1.238746,-0.268230,22.352462,15
0.800009,-1.241677,-0.263932,21.994302,15
0.749999,-1.246337,-0.263004,21.916972,16
0.700247,-1.248514,-0.257680,21.473341,15
0.650423,-1.253968,-0.256777,21.398046,16
0.599482,-1.253398,-0.255336,21.277981,15
0.549284,-1.253663,-0.256777,21.398046,16
0.500691,-1.251445,-0.257289,21.440781,15
0.451122,-1.252747,-0.257509,21.459096,16
0.400265,-1.251119,-0.257680,21.473341,15
0.350258,-1.255189,-0.254579,21.214896,16
0.299711,-1.261538,-0.252210,21.017501,15
0.249575,-1.257937,-0.253480,21.123321,16
0.199540,-1.255352,-0.252601,21.050061,15
0.149071,-1.249817,-0.256899,21.408221,15
0.098875,-1.251221,-0.256044,21.336996,16
0.049405,-1.244282,-0.260024,21.668702,15
0.022663,-1.262515,-0.254945,21.245421,1
