elapsed_s,current_a,recorded_duration_s
0.000000,-0.002930,0.000000
0.001237,-0.002930,0.001237
0.011895,+0.002930,0.011895
0.022880,+0.073260,0.022880
0.033846,+0.131868,0.033846
0.044866,+0.096703,0.044866
0.055958,+0.161172,0.055958
0.066956,+0.131868,0.066956
0.077848,+0.219780,0.077848
0.088880,+0.225641,0.088880
0.099578,+0.126007,0.099578
0.110733,+0.143590,0.110733
0.121589,+0.149451,0.121589
0.132592,+0.084982,0.132592
0.143064,+0.079121,0.143064
0.154211,+0.084982,0.154211
0.165080,+0.079121,0.165080
0.175841,+0.079121,0.175841
0.186584,+0.073260,0.186584
0.197580,+0.073260,0.197580
0.208098,+0.067399,0.208098
0.219099,+0.061538,0.219099
0.230185,+0.061538,0.230185
0.240567,+0.061538,0.240567
0.251168,+0.055678,0.251168
0.262162,+0.049817,0.262162
0.272657,+0.049817,0.272657
0.283686,+0.043956,0.283686
0.294889,+0.043956,0.294889
0.305637,+0.038095,0.305637
0.305789,+0.038095,0.305789
0.316691,+0.032234,0.316691
0.327678,+0.249084,0.327678
0.338186,+0.167033,0.338186
0.349230,+0.143590,0.349230
0.360136,+0.161172,0.360136
0.370668,+0.167033,0.370668
0.381202,+0.137729,0.381202
0.392210,+0.161172,0.392210
0.402700,+0.126007,0.402700
0.413701,+0.202198,0.413701
0.424922,+0.131868,0.424922
0.435732,+0.167033,0.435732
0.446739,+0.143590,0.446739
0.457743,+0.167033,0.457743
0.468287,+0.167033,0.468287
0.479254,+0.137729,0.479254
0.490273,+0.161172,0.490273
0.500742,+0.149451,0.500742
0.511255,+0.155311,0.511255
0.522396,+0.155311,0.522396
0.532848,+0.126007,0.532848
0.543831,+0.184615,0.543831
0.554843,+0.149451,0.554843
0.565483,+0.143590,0.565483
0.576103,+0.149451,0.576103
0.586885,+0.137729,0.586885
0.597852,+0.202198,0.597852
0.608392,+0.114286,0.608392
0.619359,+0.167033,0.619359
0.630324,+0.131868,0.630324
0.641072,+0.172894,0.641072
0.651858,+0.143590,0.651858
0.662870,+0.131868,0.662870
0.674016,+0.149451,0.674016
0.684899,+0.167033,0.684899
0.695489,+0.137729,0.695489
0.706066,+0.155311,0.706066
0.716910,+0.120147,0.716910
0.727965,+0.196337,0.727965
0.738609,+0.120147,0.738609
0.749455,+0.155311,0.749455
0.760387,+0.131868,0.760387
0.771432,+0.155311,0.771432
0.782441,+0.161172,0.782441
0.792961,+0.114286,0.792961
0.803962,+0.155311,0.803962
0.815266,+0.149451,0.815266
0.825991,+0.143590,0.825991
0.836961,+0.143590,0.836961
0.848075,+0.120147,0.848075
0.858489,+0.172894,0.858489
0.869521,+0.137729,0.869521
0.879974,+0.155311,0.879974
0.890534,+0.149451,0.890534
0.901186,+0.137729,0.901186
0.912078,+0.196337,0.912078
0.923085,+0.120147,0.923085
0.934170,+0.172894,0.934170
0.945094,+0.137729,0.945094
0.955610,+0.178755,0.955610
0.966645,+0.143590,0.966645
0.977622,+0.143590,0.977622
0.988947,+0.161172,0.988947
0.999644,+0.178755,0.999644
1.010206,+0.143590,1.010206
1.023182,+0.167033,1.023182
1.033947,+0.143590,1.033947
1.044566,+0.208059,1.044566
1.055109,+0.131868,1.055109
1.065467,+0.178755,1.065467
1.076744,+0.143590,1.076744
1.087505,+0.184615,1.087505
1.098028,+0.167033,1.098028
1.109196,+0.143590,1.109196
1.120055,+0.167033,1.120055
1.130514,+0.161172,1.130514
1.141059,+0.161172,1.141059
1.151579,+0.167033,1.151579
1.162649,+0.137729,1.162649
1.174034,+0.196337,1.174034
1.184624,+0.155311,1.184624
1.195097,+0.167033,1.195097
1.206149,+0.155311,1.206149
1.217104,+0.155311,1.217104
1.228330,+0.196337,1.228330
1.239152,+0.137729,1.239152
1.250101,+0.178755,1.250101
1.260608,+0.143590,1.260608
1.271139,+0.184615,1.271139
1.282279,+0.149451,1.282279
1.292607,+0.143590,1.292607
1.303681,+0.161172,1.303681
1.314204,+0.172894,1.314204
1.325161,+0.155311,1.325161
1.335748,+0.172894,1.335748
1.346660,+0.131868,1.346660
1.357722,+0.196337,1.357722
1.368199,+0.131868,1.368199
1.379229,+0.172894,1.379229
1.390096,+0.131868,1.390096
1.400609,+0.172894,1.400609
1.411139,+0.172894,1.411139
1.422150,+0.137729,1.422150
1.432649,+0.161172,1.432649
1.443684,+0.161172,1.443684
1.454838,+0.161172,1.454838
1.465673,+0.155311,1.465673
1.476652,+0.143590,1.476652
1.487678,+0.190476,1.487678
1.498921,+0.149451,1.498921
1.510187,+0.172894,1.510187
1.520727,+0.143590,1.520727
1.531223,+0.167033,1.531223
1.542290,+0.196337,1.542290
1.552761,+0.143590,1.552761
1.563764,+0.184615,1.563764
1.575101,+0.155311,1.575101
1.585909,+0.190476,1.585909
1.596914,+0.155311,1.596914
1.607501,+0.161172,1.607501
1.618413,+0.172894,1.618413
1.629409,+0.184615,1.629409
1.640377,+0.167033,1.640377
1.651392,+0.184615,1.651392
1.662394,+0.143590,1.662394
1.672900,+0.213919,1.672900
1.683800,+0.213919,1.683800
1.694418,+0.196337,1.694418
1.705600,+0.149451,1.705600
1.716479,+0.190476,1.716479
1.727424,+0.167033,1.727424
1.738480,+0.155311,1.738480
1.749416,+0.172894,1.749416
1.760476,+0.172894,1.760476
1.771391,+0.172894,1.771391
1.782406,+0.167033,1.782406
1.793641,+0.137729,1.793641
1.803998,+0.196337,1.803998
1.814765,+0.155311,1.814765
1.825700,+0.178755,1.825700
1.836625,+0.137729,1.836625
1.847623,+0.178755,1.847623
1.858154,+0.178755,1.858154
1.869171,+0.143590,1.869171
1.880077,+0.172894,1.880077
1.891135,+0.149451,1.891135
1.902131,+0.190476,1.902131
1.912677,+0.161172,1.912677
1.923793,+0.143590,1.923793
1.934693,+0.172894,1.934693
1.945489,+0.161172,1.945489
1.956554,+0.167033,1.956554
1.967551,+0.149451,1.967551
1.978548,+0.149451,1.978548
1.989572,+0.190476,1.989572
2.000552,+0.131868,2.000552
2.011045,+0.184615,2.011045
2.021600,+0.126007,2.021600
2.032570,+0.196337,2.032570
2.043094,+0.143590,2.043094
2.054245,+0.155311,2.054245
2.065107,+0.155311,2.065107
2.075593,+0.167033,2.075593
2.086681,+0.172894,2.086681
2.097635,+0.161172,2.097635
2.108973,+0.149451,2.108973
2.119679,+0.196337,2.119679
2.130707,+0.155311,2.130707
2.141177,+0.208059,2.141177
2.151651,+0.155311,2.151651
2.162376,+0.202198,2.162376
2.172966,+0.190476,2.172966
2.183823,+0.172894,2.183823
