elapsed_s,current_a,recorded_duration_s
0.000000,+0.002930,0.000000
0.001762,+0.002930,0.001762
0.013152,+0.008791,0.013152
0.023968,+0.254945,0.023968
0.034449,+0.272527,0.034449
0.044967,+0.178755,0.044967
0.056182,+0.190476,0.056182
0.067120,+0.202198,0.067120
0.077970,+0.178755,0.077970
0.089051,+0.202198,0.089051
0.100027,+0.149451,0.100027
0.110981,+0.231502,0.110981
0.121670,+0.155311,0.121670
0.132492,+0.208059,0.132492
0.143547,+0.167033,0.143547
0.154562,+0.196337,0.154562
0.165023,+0.178755,0.165023
0.176142,+0.172894,0.176142
0.187238,+0.178755,0.187238
0.198017,+0.190476,0.198017
0.209067,+0.167033,0.209067
0.220112,+0.184615,0.220112
0.231063,+0.137729,0.231063
0.241675,+0.208059,0.241675
0.252093,+0.155311,0.252093
0.262631,+0.184615,0.262631
0.273770,+0.161172,0.273770
0.284582,+0.167033,0.284582
0.295802,+0.184615,0.295802
0.306683,+0.149451,0.306683
0.317596,+0.178755,0.317596
0.328542,+0.161172,0.328542
0.339126,+0.172894,0.339126
0.350085,+0.184615,0.350085
0.361160,+0.155311,0.361160
0.371561,+0.196337,0.371561
0.382141,+0.172894,0.382141
0.392575,+0.184615,0.392575
0.403672,+0.190476,0.403672
0.414304,+0.149451,0.414304
0.425189,+0.202198,0.425189
0.436306,+0.126007,0.436306
0.447203,+0.131868,0.447203
0.458138,+0.196337,0.458138
0.469151,+0.184615,0.469151
0.480315,+0.225641,0.480315
0.491173,+0.143590,0.491173
0.501638,+0.090842,0.501638
0.512223,+0.155311,0.512223
0.522980,+0.178755,0.522980
0.534379,+0.190476,0.534379
0.545150,+0.167033,0.545150
0.556094,+0.120147,0.556094
0.567111,+0.137729,0.567111
0.578109,+0.143590,0.578109
0.589105,+0.149451,0.589105
0.600204,+0.155311,0.600204
0.611085,+0.155311,0.611085
0.621945,+0.161172,0.621945
0.632819,+0.161172,0.632819
0.643825,+0.161172,0.643825
0.654669,+0.161172,0.654669
0.665346,+0.167033,0.665346
0.676362,+0.167033,0.676362
0.687318,+0.172894,0.687318
0.698362,+0.172894,0.698362
0.708962,+0.172894,0.708962
0.719922,+0.172894,0.719922
0.731049,+0.178755,0.731049
0.741416,+0.178755,0.741416
0.751939,+0.178755,0.751939
0.762984,+0.178755,0.762984
0.774285,+0.178755,0.774285
0.785111,+0.184615,0.785111
0.795626,+0.184615,0.795626
0.806592,+0.190476,0.806592
0.817602,+0.184615,0.817602
1.318763,+0.184615,1.318763
1.329795,+0.196337,1.329795
1.340959,+0.096703,1.340959
1.351782,-0.020513,1.351782
1.362788,-0.108425,1.362788
1.373952,-0.096703,1.373952
1.384825,-0.161172,1.384825
1.395766,-0.143590,1.395766
1.407015,-0.096703,1.407015
1.417704,-0.114286,1.417704
1.428944,-0.114286,1.428944
1.440365,-0.120147,1.440365
1.450856,-0.272527,1.450856
1.461350,-0.225641,1.461350
1.471954,-0.172894,1.471954
1.482899,-0.202198,1.482899
1.494064,-0.108425,1.494064
1.504906,-0.114286,1.504906
1.515376,-0.126007,1.515376
1.526475,-0.196337,1.526475
1.537383,-0.249084,1.537383
1.548614,-0.243223,1.548614
1.560172,-0.202198,1.560172
1.570967,-0.178755,1.570967
1.581444,-0.137729,1.581444
1.591996,-0.131868,1.591996
1.602940,-0.196337,1.602940
1.614128,-0.184615,1.614128
1.624953,-0.219780,1.624953
1.636036,-0.272527,1.636036
1.647036,-0.149451,1.647036
1.658009,-0.137729,1.658009
1.669092,-0.114286,1.669092
1.680167,-0.172894,1.680167
1.691030,-0.213919,1.691030
1.701504,-0.196337,1.701504
1.711966,-0.196337,1.711966
1.723021,-0.184615,1.723021
1.734142,-0.155311,1.734142
1.745065,-0.155311,1.745065
1.755992,-0.149451,1.755992
1.767043,-0.149451,1.767043
1.778217,-0.225641,1.778217
1.789072,-0.167033,1.789072
1.800557,-0.172894,1.800557
1.811313,-0.184615,1.811313
1.821895,-0.167033,1.821895
1.832867,-0.225641,1.832867
1.843666,-0.178755,1.843666
1.854566,-0.167033,1.854566
1.865150,-0.184615,1.865150
1.876181,-0.149451,1.876181
1.887113,-0.184615,1.887113
1.898166,-0.184615,1.898166
1.909122,-0.190476,1.909122
1.920250,-0.208059,1.920250
1.931162,-0.190476,1.931162
1.941679,-0.114286,1.941679
1.952148,-0.149451,1.952148
1.962712,-0.137729,1.962712
1.973873,-0.231502,1.973873
1.984690,-0.301832,1.984690
1.995786,-0.219780,1.995786
2.006776,-0.243223,2.006776
2.017805,-0.172894,2.017805
2.028833,-0.126007,2.028833
2.040619,-0.155311,2.040619
2.051287,-0.190476,2.051287
2.061785,-0.231502,2.061785
2.072316,-0.249084,2.072316
2.082812,-0.208059,2.082812
2.094129,-0.184615,2.094129
2.104822,-0.137729,2.104822
2.115980,-0.120147,2.115980
2.126917,-0.243223,2.126917
2.137967,-0.208059,2.137967
2.148917,-0.213919,2.148917
2.159994,-0.313553,2.159994
2.171001,-0.196337,2.171001
2.181494,-0.190476,2.181494
2.192118,-0.137729,2.192118
2.202948,-0.155311,2.202948
2.214090,-0.225641,2.214090
2.224585,-0.196337,2.224585
2.235039,-0.196337,2.235039
2.246151,-0.208059,2.246151
2.257057,-0.167033,2.257057
2.268139,-0.167033,2.268139
2.279010,-0.184615,2.279010
2.290015,-0.172894,2.290015
2.301218,-0.231502,2.301218
2.311995,-0.208059,2.311995
2.323059,-0.172894,2.323059
2.334295,-0.231502,2.334295
2.344682,-0.161172,2.344682
2.355716,-0.219780,2.355716
2.366765,-0.196337,2.366765
2.377741,-0.167033,2.377741
2.388857,-0.178755,2.388857
2.399284,-0.143590,2.399284
2.410230,-0.184615,2.410230
2.421235,-0.208059,2.421235
2.431931,-0.213919,2.431931
2.442779,-0.243223,2.442779
2.453856,-0.225641,2.453856
2.464312,-0.143590,2.464312
2.474792,-0.172894,2.474792
2.486014,-0.149451,2.486014
2.496938,-0.190476,2.496938
2.508091,-0.295971,2.508091
2.518979,-0.225641,2.518979
2.530260,-0.231502,2.530260
2.541218,-0.178755,2.541218
2.552274,-0.108425,2.552274
2.563358,-0.155311,2.563358
2.574296,-0.190476,2.574296
2.585123,-0.225641,2.585123
2.595736,-0.295971,2.595736
2.606705,-0.237363,2.606705
2.617552,-0.202198,2.617552
2.628972,-0.155311,2.628972
2.640534,-0.120147,2.640534
2.651243,-0.225641,2.651243
2.662221,-0.190476,2.662221
2.673258,-0.208059,2.673258
2.684246,-0.313553,2.684246
2.695268,-0.178755,2.695268
2.706104,-0.149451,2.706104
2.717199,-0.120147,2.717199
2.728083,-0.172894,2.728083
2.739158,-0.243223,2.739158
2.750180,-0.208059,2.750180
2.761264,-0.208059,2.761264
2.772168,-0.213919,2.772168
2.783146,-0.172894,2.783146
2.794074,-0.167033,2.794074
2.804697,-0.155311,2.804697
2.815386,-0.155311,2.815386
2.826214,-0.254945,2.826214
2.837150,-0.184615,2.837150
2.848158,-0.172894,2.848158
2.859206,-0.172894,2.859206
2.870163,-0.161172,2.870163
2.881254,-0.225641,2.881254
2.892469,-0.178755,2.892469
2.903084,-0.172894,2.903084
2.914071,-0.196337,2.914071
2.924666,-0.161172,2.924666
2.935271,-0.208059,2.935271
2.946262,-0.202198,2.946262
2.957148,-0.202198,2.957148
2.968210,-0.213919,2.968210
2.979242,-0.178755,2.979242
2.990208,-0.114286,2.990208
3.001240,-0.143590,3.001240
3.011654,-0.131868,3.011654
3.022212,-0.254945,3.022212
3.032811,-0.272527,3.032811
3.043845,-0.202198,3.043845
3.054373,-0.225641,3.054373
3.065324,-0.143590,3.065324
3.076204,-0.120147,3.076204
3.087231,-0.149451,3.087231
3.098203,-0.178755,3.098203
3.109229,-0.219780,3.109229
3.120521,-0.237363,3.120521
3.131210,-0.184615,3.131210
3.141794,-0.155311,3.141794
3.152259,-0.102564,3.152259
3.163233,-0.126007,3.163233
3.174378,-0.225641,3.174378
3.184752,-0.190476,3.184752
3.195286,-0.213919,3.195286
3.206348,-0.295971,3.206348
3.217262,-0.178755,3.217262
3.228500,-0.161172,3.228500
3.239237,-0.108425,3.239237
3.250282,-0.149451,3.250282
3.261285,-0.208059,3.261285
3.271853,-0.178755,3.271853
3.282402,-0.178755,3.282402
3.292899,-0.161172,3.292899
3.303412,-0.131868,3.303412
3.314567,-0.143590,3.314567
3.324938,-0.161172,3.324938
3.335959,-0.161172,3.335959
3.347122,-0.225641,3.347122
3.357947,-0.196337,3.357947
3.368963,-0.161172,3.368963
3.379536,-0.208059,3.379536
3.390529,-0.149451,3.390529
3.401600,-0.202198,3.401600
3.411967,-0.167033,3.411967
3.423085,-0.143590,3.423085
3.433692,-0.149451,3.433692
3.444280,-0.126007,3.444280
3.455453,-0.126007,3.455453
3.466235,-0.167033,3.466235
3.477270,-0.190476,3.477270
3.488238,-0.213919,3.488238
3.499317,-0.190476,3.499317
3.510324,-0.126007,3.510324
3.521048,-0.161172,3.521048
3.532025,-0.126007,3.532025
3.542859,-0.178755,3.542859
3.553854,-0.272527,3.553854
3.564376,-0.196337,3.564376
3.575623,-0.202198,3.575623
3.586307,-0.143590,3.586307
3.596807,-0.090842,3.596807
3.607822,-0.120147,3.607822
3.618837,-0.155311,3.618837
3.629384,-0.196337,3.629384
3.640479,-0.260806,3.640479
3.651374,-0.213919,3.651374
3.661857,-0.178755,3.661857
3.672369,-0.137729,3.672369
3.682900,-0.096703,3.682900
3.694023,-0.172894,3.694023
3.704410,-0.161172,3.704410
3.714943,-0.167033,3.714943
3.725948,-0.278388,3.725948
3.736952,-0.190476,3.736952
3.748015,-0.143590,3.748015
3.758908,-0.114286,3.758908
3.769442,-0.131868,3.769442
3.780471,-0.196337,3.780471
3.791463,-0.178755,3.791463
3.802466,-0.184615,3.802466
3.813570,-0.213919,3.813570
3.824474,-0.161172,3.824474
3.835013,-0.155311,3.835013
3.846013,-0.155311,3.846013
3.857019,-0.137729,3.857019
3.868044,-0.178755,3.868044
3.878995,-0.172894,3.878995
3.890030,-0.126007,3.890030
3.901023,-0.190476,3.901023
3.911547,-0.137729,3.911547
3.922554,-0.213919,3.922554
3.933685,-0.196337,3.933685
3.944549,-0.155311,3.944549
3.955123,-0.172894,3.955123
3.966137,-0.143590,3.966137
3.977191,-0.143590,3.977191
3.988138,-0.196337,3.988138
3.999111,-0.184615,3.999111
4.010091,-0.196337,4.010091
4.021110,-0.184615,4.021110
4.031591,-0.114286,4.031591
4.042365,-0.137729,4.042365
4.053130,-0.114286,4.053130
4.064160,-0.161172,4.064160
4.074638,-0.278388,4.074638
4.085803,-0.213919,4.085803
4.096657,-0.202198,4.096657
4.107745,-0.178755,4.107745
4.118631,-0.102564,4.118631
4.129211,-0.137729,4.129211
4.140200,-0.137729,4.140200
4.151175,-0.178755,4.151175
4.161780,-0.249084,4.161780
4.172239,-0.202198,4.172239
4.182792,-0.161172,4.182792
4.193357,-0.131868,4.193357
4.204390,-0.079121,4.204390
4.215410,-0.178755,4.215410
4.226487,-0.178755,4.226487
4.237420,-0.172894,4.237420
4.248324,-0.290110,4.248324
4.259340,-0.202198,4.259340
4.270358,-0.155311,4.270358
4.281099,-0.131868,4.281099
4.291730,-0.120147,4.291730
4.302269,-0.172894,4.302269
4.312781,-0.167033,4.312781
