elapsed_s,current_a,recorded_duration_s
0.000000,-0.002930,0.000000
0.001769,-0.002930,0.001769
0.010386,-0.002930,0.010386
0.013574,-0.542125,0.013574
0.016634,-0.254945,0.016634
0.018956,-0.014652,0.018956
0.022099,+0.096703,0.022099
0.024969,+0.143590,0.024969
0.028155,+0.120147,0.028155
0.030472,+0.084982,0.030472
0.033470,+0.067399,0.033470
0.036501,+0.049817,0.036501
0.038987,+0.049817,0.038987
0.042101,+0.055678,0.042101
0.044996,+0.067399,0.044996
0.047994,+0.061538,0.047994
0.050502,+0.067399,0.050502
0.053660,+0.073260,0.053660
0.056537,+0.084982,0.056537
0.059022,+0.084982,0.059022
0.062060,+0.079121,0.062060
0.065103,+0.067399,0.065103
0.068205,+0.055678,0.068205
0.070604,+0.061538,0.070604
0.073649,+0.073260,0.073649
0.076597,+0.079121,0.076597
0.079067,+0.079121,0.079067
0.082438,+0.079121,0.082438
0.085089,+0.079121,0.085089
0.088067,+0.084982,0.088067
0.090580,+0.084982,0.090580
0.093698,+0.084982,0.093698
0.096915,+0.079121,0.096915
0.099752,+0.079121,0.099752
0.102787,+0.084982,0.102787
0.111495,+0.084982,0.111495
0.114319,+0.084982,0.114319
0.117281,+0.084982,0.117281
0.120347,+0.079121,0.120347
0.123402,+0.079121,0.123402
0.125730,+0.084982,0.125730
0.128727,+0.079121,0.128727
0.131692,+0.079121,0.131692
0.134827,+0.084982,0.134827
0.137721,+0.084982,0.137721
0.140226,+0.079121,0.140226
0.143289,+0.079121,0.143289
0.146227,+0.084982,0.146227
0.148868,+0.084982,0.148868
0.151783,+0.084982,0.151783
0.154704,+0.084982,0.154704
0.157823,+0.084982,0.157823
0.160302,+0.079121,0.160302
0.163526,+0.079121,0.163526
0.166251,+0.084982,0.166251
0.168783,+0.079121,0.168783
0.171762,+0.084982,0.171762
0.175062,+0.079121,0.175062
0.177849,+0.084982,0.177849
0.180293,+0.084982,0.180293
0.183280,+0.079121,0.183280
0.186395,+0.079121,0.186395
0.189037,+0.079121,0.189037
0.191914,+0.084982,0.191914
0.194823,+0.079121,0.194823
0.197824,+0.079121,0.197824
0.200408,+0.079121,0.200408
0.203584,+0.079121,0.203584
0.211352,+0.079121,0.211352
0.214545,+0.079121,0.214545
0.217393,+0.079121,0.217393
0.220435,+0.079121,0.220435
0.223412,+0.079121,0.223412
0.226489,+0.079121,0.226489
0.229094,+0.079121,0.229094
0.231955,+0.079121,0.231955
0.234917,+0.079121,0.234917
0.238055,+0.079121,0.238055
0.240526,+0.079121,0.240526
0.243489,+0.079121,0.243489
0.246418,+0.079121,0.246418
0.248959,+0.079121,0.248959
0.252013,+0.079121,0.252013
0.255054,+0.079121,0.255054
0.257960,+0.079121,0.257960
0.260435,+0.073260,0.260435
0.263440,+0.079121,0.263440
0.266520,+0.079121,0.266520
0.269070,+0.073260,0.269070
0.272073,+0.079121,0.272073
0.274957,+0.073260,0.274957
0.277981,+0.073260,0.277981
0.280581,+0.073260,0.280581
0.283614,+0.073260,0.283614
0.286736,+0.073260,0.286736
0.289123,+0.073260,0.289123
0.292213,+0.073260,0.292213
0.295218,+0.073260,0.295218
0.298077,+0.073260,0.298077
0.300628,+0.073260,0.300628
0.303635,+0.073260,0.303635
0.311571,+0.073260,0.311571
0.314621,+0.073260,0.314621
0.317659,+0.073260,0.317659
